ICAO,Name,Callsign
CQN,Chongqing Airlines,Chongqing
HVN,Vietnam Airlines,Vietnam
CDG,Shandong Airlines,Shandong
UAE,Emirates,Emirates
QFA,Qantas Airways,Qantas
MXC,Loong Air,Mexicargo
BAW,British Airways,Speedbird
EVA,EVA Air,Eva
THA,Thai Airways,Thai
ACA,Air Canada,Aircanada
RBA,Royal Brunei Airlines,Brunei
BTK,Batik Air,Batik
CPA,Cathay Pacific,Cathay
BBC,Biman Bangladesh Airlines,Bangladesh
DRK,Drukair,RoyalBhutan
ALK,SriLankan Airlines,Srilankan
UBA,Myanmar National Airlines,Unionair
AIC,Air India,Airindia
FJI,Fiji Airways,Fiji
JSA,Jetstar Asia,Jetstarasia
AMU,Air Macau,Airmacao
UAL,United Airlines,United
KTC,AirAsia Cambodia,Rednaga
KME,Cambodia Airways,Giantibis
ETH,Ethiopian Airlines,Ethiopian
CXA,Xiamen Airlines,Xiamenair
FIN,Finnair,Finnair
TLM,Thai Lion Air,Mentari
TNU,TransNusa,Transnusa
CSC,Sichuan Airlines,Sichuan
CEB,Cebu Pacific Air,Cebu
CSZ,Shenzhen Airlines,Shenzhenair
AWQ,Indonesia AirAsia,Wagonair
MMA,Myanmar Airways International,Myanmar
ANG,Air Niugini,Niugini
KLM,KLM Royal Dutch Airlines,Klm
VJC,VietJet Air,Vietjet
JST,Jetstar International,Jetstar
CTV,Citilink,Supergreen
SQC,Singapore Airlines,Singcargo
BKP,Bangkok Airways,Bangkokair
TGW,Scoot,Scooter
AXB,Air India Express,Expressindia
AAR,Asiana Airlines,Asiana
IGO,IndiGo,Ifly
APJ,Peach Aviation,Airpeach
KAL,Korean Air,Koreanair
MAS,Malaysia Airlines,Malaysian
QTR,Qatar Airways,Qatari
AIQ,Thai AirAsia,Thaiasia
ETD,Etihad Airways,Etihad
DTL,Aero Dili,Aerodili
PAS,Pelita Air,Pelita
SJX,STARLUX Airlines,Starwalker
GIA,Garuda Indonesia,Indonesia
CAL,China Airlines,Dynasty
JJA,Jeju Air,Jejuair
CSN,China Southern Airlines,Chinasouthern
TZP,ZIPAIR,Zippy
SVA,Saudia Airlines,Saudia
DKH,Juneyao Airlines,Airjuneyao
THY,Turkish Airlines,Turkish
ANA,All Nippon Airways,Allnippon
MXD,Batik Air Malaysia,Malindoexpress
UBG,US-Bangla Airlines,Banglastar
TWB,T'way Air,Teeway
AFR,Air France,Airfrance
CES,China Eastern Airlines,Chinaeastern
CHH,Hainan Airlines,Hainan
PAL,Philippine Airlines,Philippine
AJX,Air Japan,Airjapan
GCR,Tianjin Airlines,Bohai
CBG,Guangxi Beibu Gulf Airlines,Greencity
CCA,Air China,Airchina
JAL,Japan Airlines,Japanair
CHB,West Air,Westchina
ANZ,Air New Zealand,Newzealand
GFA,Gulf Air,Gulfair
CQH,Spring Airlines,Airspring
HBH,Hebei Airlines,Hebeiair
ACI,Aircalin,Aircalin
FFM,Firefly,Firefly
DLH,Lufthansa,Lufthansa
SWR,SWISS International Airlines,Swiss
AXM,AirAsia,Redcap
